Название,Год выпуска,Длительность,Жанры,Рейтинг КиноПоиск,Рейтинг IMDB,Рейтинг кинокритиков,Рейтинг российских кинокритиков,Голоса КиноПоиск,Голоса IMDB,Голоса кинокритиков,Голоса российских кинокритиков,Бюджет,Дата премьеры в России,Дата премьеры в мире,Мировые кассовые сборы
1+1,2011,112.0,"['драма', 'комедия']",8.846,8.5,6.8,100.0,2431363,966636,128,12,10355000.0,2012-04-26T00:00:00.000Z,2011-09-23T00:00:00.000Z,426588510.0
Джентльмены,2019,113.0,"['криминал', 'комедия', 'боевик']",8.626,7.8,6.6,86.3636,2145499,427468,278,22,22000000.0,2020-02-13T00:00:00.000Z,2019-12-03T00:00:00.000Z,115171795.0
Брат,1997,96.0,"['драма', 'криминал', 'боевик']",8.338,7.8,7.6,0.0,1572786,26162,5,2,112164013.0,1997-12-12T00:00:00.000Z,1997-05-17T00:00:00.000Z,1362281.0
Гнев человеческий,2021,119.0,"['боевик', 'триллер']",7.668,7.1,6.3,72.2222,1548405,221419,260,36,40000000.0,2021-04-22T00:00:00.000Z,2021-04-22T00:00:00.000Z,103966489.0
Волк с Уолл-стрит,2013,180.0,"['драма', 'криминал', 'биография', 'комедия']",8.033,8.2,7.8,77.4194,1460341,1660210,284,31,100000000.0,2014-02-06T00:00:00.000Z,2013-12-09T00:00:00.000Z,392000694.0
Холоп 2,2023,119.0,['комедия'],7.159,5.7,0.0,40.0,1299618,1021,0,10,9216000.0,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z,112164013.0
Зеленая книга,2018,130.0,"['биография', 'комедия', 'драма']",8.517,8.2,7.2,93.3333,1277785,621397,362,15,23000000.0,2019-01-24T00:00:00.000Z,2018-09-11T00:00:00.000Z,321752656.0
По щучьему велению,2023,115.0,"['фэнтези', 'приключения', 'семейный']",7.757,6.2,0.0,0.0,1263019,804,0,2,112164013.0,2023-10-26T00:00:00.000Z,2023-11-24T00:00:00.000Z,112164013.0
Достать ножи,2019,130.0,"['детектив', 'комедия', 'драма', 'криминал']",8.15,7.9,8.3,89.4737,1251521,808111,471,19,40000000.0,2019-11-28T00:00:00.000Z,2019-09-07T00:00:00.000Z,312897920.0
Один дома,1990,103.0,"['комедия', 'семейный']",8.279,7.7,5.9,0.0,1229126,690373,116,0,18000000.0,1993-12-27T00:00:00.000Z,1990-11-10T00:00:00.000Z,476684675.0
Брат 2,2000,127.0,"['боевик', 'криминал']",8.25,7.6,0.0,0.0,1204445,18503,0,1,1500000.0,2000-05-11T00:00:00.000Z,2000-08-30T00:00:00.000Z,543825.0
Остров проклятых,2009,138.0,"['триллер', 'детектив', 'драма']",8.545,8.2,6.7,85.7143,1172974,1531958,263,7,80000000.0,2010-02-18T00:00:00.000Z,2010-02-13T00:00:00.000Z,294804195.0
Иван Васильевич меняет профессию,1973,88.0,"['комедия', 'фантастика', 'приключения']",8.79,8.2,0.0,0.0,1157005,19266,0,0,112164013.0,1973-09-17T00:00:00.000Z,1973-09-17T00:00:00.000Z,112164013.0
Аватар,2009,162.0,"['фантастика', 'боевик', 'драма', 'приключения']",7.982,7.9,7.5,76.9231,1122440,1420175,334,13,237000000.0,2009-12-17T00:00:00.000Z,2009-12-10T00:00:00.000Z,2923706026.0
Бойцовский клуб,1999,139.0,"['триллер', 'драма', 'криминал']",8.673,8.8,7.4,0.0,1111940,2430330,185,2,63000000.0,2000-01-13T00:00:00.000Z,1999-09-10T00:00:00.000Z,100853753.0
Операция «Ы» и другие приключения Шурика,1965,95.0,"['комедия', 'мелодрама', 'криминал']",8.73,8.4,0.0,0.0,1095752,15479,0,0,112164013.0,1965-07-23T00:00:00.000Z,1965-07-23T00:00:00.000Z,112164013.0
Холоп,2019,109.0,"['комедия', 'мелодрама']",7.173,6.6,0.0,60.0,1081698,5940,0,10,1920000.0,2019-12-26T00:00:00.000Z,2019-11-24T00:00:00.000Z,50263878.0
Побег из Шоушенка,1994,142.0,['драма'],9.109,9.3,8.3,0.0,1067212,3006077,146,2,25000000.0,2019-10-24T00:00:00.000Z,1994-09-10T00:00:00.000Z,28418687.0
Переводчик,2022,123.0,"['боевик', 'триллер', 'военный', 'история', 'драма']",7.889,7.5,6.8,75.0,1051589,185624,118,20,55000000.0,2023-06-01T00:00:00.000Z,2023-04-19T00:00:00.000Z,21948551.0
Гарри Поттер и философский камень,2001,152.0,"['фэнтези', 'приключения', 'семейный']",8.287,7.7,7.0,0.0,1041093,894751,202,2,125000000.0,2002-03-21T00:00:00.000Z,2001-11-04T00:00:00.000Z,1024392020.0
Интерстеллар,2014,169.0,"['фантастика', 'драма', 'приключения']",8.653,8.7,7.1,80.6452,1040407,2281773,375,31,165000000.0,2014-11-06T00:00:00.000Z,2014-10-26T00:00:00.000Z,736546575.0
Зеленая миля,1999,189.0,"['драма', 'фэнтези', 'криминал']",9.076,8.6,6.8,66.6667,1026948,1468037,136,3,60000000.0,2000-04-18T00:00:00.000Z,1999-12-06T00:00:00.000Z,286801374.0
Начало,2010,148.0,"['фантастика', 'боевик', 'триллер', 'драма', 'детектив']",8.667,8.8,8.2,80.9524,1026097,2651597,368,21,160000000.0,2010-07-22T00:00:00.000Z,2010-07-08T00:00:00.000Z,828322032.0
Легенда,2015,131.0,"['криминал', 'триллер', 'драма']",7.242,6.9,5.9,76.9231,1020493,211532,171,13,30000000.0,2015-10-01T00:00:00.000Z,2015-09-03T00:00:00.000Z,42972994.0
Любовь и голуби,1984,107.0,"['мелодрама', 'комедия']",8.29,7.9,0.0,0.0,1003495,5713,0,0,112164013.0,1985-01-07T00:00:00.000Z,1985-01-07T00:00:00.000Z,112164013.0
Пираты Карибского моря: Проклятие Черной жемчужины,2003,143.0,"['фэнтези', 'боевик', 'приключения']",8.38,8.1,7.1,0.0,1002950,1252234,219,2,140000000.0,2003-08-20T00:00:00.000Z,2003-06-28T00:00:00.000Z,654264015.0
Батя,2020,76.0,"['комедия', 'мелодрама']",7.755,6.7,0.0,100.0,977260,1684,0,8,112164013.0,2021-02-23T00:00:00.000Z,2021-02-23T00:00:00.000Z,112164013.0
Веном,2018,112.0,"['фантастика', 'боевик', 'триллер', 'ужасы']",6.936,6.6,4.5,41.1765,943110,569819,364,17,100000000.0,2018-10-04T00:00:00.000Z,2018-10-01T00:00:00.000Z,856085151.0
Форрест Гамп,1994,142.0,"['драма', 'комедия', 'мелодрама', 'история', 'военный']",8.921,8.8,7.8,0.0,942522,2351465,158,1,55000000.0,2020-02-13T00:00:00.000Z,1994-06-23T00:00:00.000Z,677387716.0
Анора,2024,139.0,"['драма', 'мелодрама', 'комедия']",6.485,7.6,8.5,75.0,935169,146008,334,28,6000000.0,2024-10-17T00:00:00.000Z,2024-05-21T00:00:00.000Z,51868503.0
Области тьмы,2011,105.0,"['триллер', 'драма', 'фантастика']",8.019,7.4,6.3,75.0,932194,625633,201,8,26000000.0,2011-03-17T00:00:00.000Z,2011-03-08T00:00:00.000Z,161849455.0
Вышка,2022,107.0,['триллер'],6.752,6.4,6.4,0.0,897467,119690,150,1,3000000.0,2022-08-11T00:00:00.000Z,2022-08-10T00:00:00.000Z,17946131.0
Титаник,1997,194.0,"['мелодрама', 'история', 'триллер', 'драма']",8.386,7.9,8.1,0.0,895614,1326722,255,0,200000000.0,1998-02-20T00:00:00.000Z,1997-11-01T00:00:00.000Z,2264743305.0
Джентльмены удачи,1971,84.0,"['комедия', 'драма', 'криминал', 'детектив']",8.554,8.3,0.0,0.0,892646,13457,0,1,112164013.0,1971-12-13T00:00:00.000Z,1971-12-13T00:00:00.000Z,10560943.0
Операция «Фортуна»: Искусство побеждать,2022,114.0,"['боевик', 'комедия']",7.128,6.3,5.6,82.3529,883875,98852,149,17,50000000.0,2023-01-12T00:00:00.000Z,2023-01-03T00:00:00.000Z,48983306.0
Мстители: Война бесконечности,2018,149.0,"['фантастика', 'боевик', 'приключения']",8.09,8.4,7.6,86.3636,868259,1266900,486,22,321000000.0,2018-05-03T00:00:00.000Z,2018-04-23T00:00:00.000Z,2048359754.0
Законопослушный гражданин,2009,108.0,"['боевик', 'триллер', 'драма', 'криминал']",8.044,7.4,4.5,20.0,844594,330856,161,5,50000000.0,2009-11-04T00:00:00.000Z,2009-09-23T00:00:00.000Z,126690726.0
Пчеловод,2024,105.0,"['боевик', 'криминал']",7.212,6.3,5.9,100.0,836175,152071,182,5,40000000.0,2024-08-29T00:00:00.000Z,2024-01-08T00:00:00.000Z,162619535.0
Субстанция,2024,141.0,"['ужасы', 'драма']",6.285,7.3,8.0,91.3043,818771,274885,363,23,17500000.0,2024-09-19T00:00:00.000Z,2024-05-19T00:00:00.000Z,77307177.0
Мстители: Финал,2019,181.0,"['фантастика', 'боевик', 'драма', 'приключения']",7.89,8.4,8.2,68.75,815886,1333115,552,16,356000000.0,2019-04-29T00:00:00.000Z,2019-04-18T00:00:00.000Z,2799439100.0
Криминальное чтиво,1994,154.0,"['криминал', 'драма']",8.653,8.9,9.3,100.0,809442,2305105,186,7,8000000.0,1995-09-29T00:00:00.000Z,1994-05-21T00:00:00.000Z,213928762.0
Дюна,2021,155.0,"['фантастика', 'боевик', 'драма', 'приключения']",7.673,8.0,7.7,70.8333,806369,944788,514,24,165000000.0,2021-09-16T00:00:00.000Z,2021-09-03T00:00:00.000Z,407573628.0
Паразиты,2019,131.0,"['драма', 'триллер', 'комедия']",8.043,8.5,9.4,94.7368,799434,1035365,483,19,11800000.0,2019-07-04T00:00:00.000Z,2019-05-21T00:00:00.000Z,266600532.0
"Поймай меня, если сможешь",2002,141.0,"['криминал', 'биография', 'комедия']",8.529,8.1,7.9,80.0,790717,1148550,202,5,52000000.0,2003-02-13T00:00:00.000Z,2002-12-16T00:00:00.000Z,352114312.0
Бриллиантовая рука,1968,94.0,"['комедия', 'криминал']",8.525,8.3,0.0,0.0,787951,16523,0,1,112164013.0,2024-04-25T00:00:00.000Z,1969-04-28T00:00:00.000Z,2266.0
Иллюзия обмана,2013,115.0,"['криминал', 'триллер', 'детектив']",7.74,7.2,5.8,60.0,782912,730258,171,15,75000000.0,2013-06-12T00:00:00.000Z,2013-05-21T00:00:00.000Z,351723989.0
Стражи Галактики,2014,121.0,"['фантастика', 'боевик', 'приключения', 'комедия']",7.855,8.0,7.8,83.3333,764512,1306374,336,18,170000000.0,2014-07-31T00:00:00.000Z,2014-07-21T00:00:00.000Z,772776600.0
Последний богатырь,2017,114.0,"['фэнтези', 'комедия', 'приключения', 'семейный']",7.218,6.4,0.0,72.7273,763917,3664,0,11,112164013.0,2017-10-26T00:00:00.000Z,2017-10-26T00:00:00.000Z,30618274.0
Матрица,1999,136.0,"['фантастика', 'боевик']",8.498,8.7,7.7,60.0,755888,2131790,210,5,63000000.0,1999-10-14T00:00:00.000Z,1999-03-24T00:00:00.000Z,463517383.0
Темный рыцарь,2008,152.0,"['фантастика', 'боевик', 'триллер', 'криминал', 'драма']",8.53,9.0,8.6,50.0,752675,2983965,343,12,185000000.0,2008-08-14T00:00:00.000Z,2008-07-14T00:00:00.000Z,1003045358.0
Джанго освобожденный,2012,165.0,"['вестерн', 'боевик', 'драма', 'комедия']",8.245,8.5,8.0,88.2353,748294,1766447,296,34,100000000.0,2013-01-17T00:00:00.000Z,2012-12-11T00:00:00.000Z,425368238.0
Девчата,1962,92.0,"['мелодрама', 'комедия']",8.482,7.8,0.0,0.0,745547,4782,0,0,112164013.0,1962-03-07T00:00:00.000Z,1962-03-07T00:00:00.000Z,112164013.0
Москва слезам не верит,1979,150.0,"['мелодрама', 'драма', 'комедия']",8.436,8.0,4.8,0.0,742769,14528,5,1,900000.0,1980-02-11T00:00:00.000Z,1980-02-11T00:00:00.000Z,2516245.0
Доктор Стрэндж,2016,115.0,"['фантастика', 'фэнтези', 'боевик', 'приключения']",7.529,7.5,7.3,94.7368,739822,834163,387,19,165000000.0,2016-10-31T00:00:00.000Z,2016-10-13T00:00:00.000Z,677718395.0
Майор Гром: Чумной Доктор,2021,136.0,"['боевик', 'криминал', 'детектив', 'комедия']",7.281,6.3,0.0,71.4286,737613,14280,0,35,112164013.0,2021-04-01T00:00:00.000Z,2021-07-07T00:00:00.000Z,4493306.0
Пятый элемент,1997,126.0,"['фантастика', 'боевик', 'комедия', 'мелодрама']",8.144,7.6,6.4,66.6667,724358,522272,70,3,90000000.0,1997-09-27T00:00:00.000Z,1997-05-07T00:00:00.000Z,263920180.0
Гладиатор,2000,155.0,"['история', 'боевик', 'драма', 'приключения']",8.588,8.5,7.4,50.0,723564,1732787,260,4,103000000.0,2000-05-18T00:00:00.000Z,2000-05-01T00:00:00.000Z,460583960.0
Мстители,2012,137.0,"['фантастика', 'боевик', 'фэнтези', 'приключения']",7.893,8.0,8.1,83.3333,720074,1495630,364,18,220000000.0,2012-05-03T00:00:00.000Z,2012-04-11T00:00:00.000Z,1518812988.0
Чебурашка,2022,113.0,"['семейный', 'комедия', 'фэнтези']",7.502,5.8,0.0,100.0,717655,1819,0,4,10200000.0,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,112164013.0
Дэдпул,2016,108.0,"['боевик', 'комедия']",7.577,8.0,7.1,100.0,707224,1191316,349,16,58000000.0,2016-02-11T00:00:00.000Z,2016-01-21T00:00:00.000Z,782612155.0
Гарри Поттер и узник Азкабана,2004,142.0,"['фэнтези', 'приключения', 'семейный']",8.242,7.9,7.8,80.0,704840,721307,263,5,130000000.0,2004-06-03T00:00:00.000Z,2004-05-23T00:00:00.000Z,807041049.0
Служебный роман,1977,159.0,"['мелодрама', 'комедия', 'драма']",8.329,8.2,0.0,0.0,700683,10911,0,0,112164013.0,1977-10-26T00:00:00.000Z,1977-10-26T00:00:00.000Z,112164013.0
Министерство неджентльменских дел,2024,119.0,"['боевик', 'драма', 'военный', 'история', 'комедия']",7.32,6.8,6.1,64.7059,700397,130996,165,17,60000000.0,2024-05-13T00:00:00.000Z,2024-04-13T00:00:00.000Z,29715044.0
Поезд в Пусан,2016,118.0,"['ужасы', 'боевик']",7.212,7.6,7.7,100.0,697019,278656,129,13,8500000.0,2016-11-24T00:00:00.000Z,2016-05-13T00:00:00.000Z,96660013.0
Властелин колец: Братство кольца,2001,178.0,"['фэнтези', 'приключения', 'драма', 'боевик']",8.62,8.9,8.2,71.4286,694818,2085239,236,7,93000000.0,2002-02-07T00:00:00.000Z,2001-12-10T00:00:00.000Z,883407846.0
Драйв,2011,100.0,"['криминал', 'драма', 'триллер']",7.251,7.8,8.3,78.9474,691605,729228,276,19,15000000.0,2011-11-03T00:00:00.000Z,2011-05-20T00:00:00.000Z,76319533.0
Пираты Карибского моря: Сундук мертвеца,2006,151.0,"['фэнтези', 'боевик', 'приключения']",8.145,7.4,6.0,0.0,689629,790206,228,1,225000000.0,2006-07-13T00:00:00.000Z,2006-06-24T00:00:00.000Z,1066179725.0
Т-34,2018,139.0,"['драма', 'военный', 'боевик', 'история']",6.828,6.8,0.0,70.0,689270,15317,0,10,7200000.0,2019-01-01T00:00:00.000Z,2019-01-06T00:00:00.000Z,39349689.0
Железный человек,2008,126.0,"['фантастика', 'боевик', 'приключения']",7.973,7.9,7.7,100.0,689029,1160656,279,8,140000000.0,2008-05-01T00:00:00.000Z,2008-04-14T00:00:00.000Z,585366247.0
Ford против Ferrari,2019,152.0,"['биография', 'спорт', 'драма', 'боевик']",8.229,8.1,7.8,80.0,688277,512038,363,10,97600000.0,2019-11-14T00:00:00.000Z,2019-08-30T00:00:00.000Z,225508210.0
Беспринципные в деревне,2023,86.0,['комедия'],6.58,0.0,0.0,0.0,681922,0,0,0,112164013.0,2023-03-02T00:00:00.000Z,2023-03-02T00:00:00.000Z,112164013.0
Назад в будущее,1985,116.0,"['фантастика', 'комедия', 'приключения']",8.647,8.5,8.9,0.0,679593,1361351,111,2,19000000.0,2013-06-27T00:00:00.000Z,1985-07-03T00:00:00.000Z,381109762.0
Шерлок Холмс,2009,128.0,"['боевик', 'приключения', 'триллер', 'драма', 'комедия', 'криминал', 'детектив']",8.062,7.6,6.3,100.0,678497,686247,248,9,90000000.0,2009-12-31T00:00:00.000Z,2009-12-14T00:00:00.000Z,524028679.0
Гарри Поттер и Тайная комната,2002,161.0,"['фэнтези', 'приключения', 'семейный']",8.142,7.4,7.2,0.0,677363,721495,238,1,100000000.0,2002-12-26T00:00:00.000Z,2002-11-03T00:00:00.000Z,927068901.0
Джон Уик 4,2023,169.0,"['боевик', 'триллер', 'криминал']",7.577,7.6,8.2,81.8182,666470,370104,384,11,90000000.0,2023-03-23T00:00:00.000Z,2023-03-13T00:00:00.000Z,440180275.0
Марсианин,2015,144.0,"['фантастика', 'приключения']",7.765,8.0,7.9,95.2381,664079,958711,384,21,108000000.0,2015-10-08T00:00:00.000Z,2015-09-11T00:00:00.000Z,630161890.0
Терминатор 2: Судный день,1991,137.0,"['фантастика', 'боевик', 'триллер']",8.387,8.6,8.5,100.0,660707,1219079,91,6,102000000.0,1994-07-11T00:00:00.000Z,1991-07-01T00:00:00.000Z,516950043.0
Конёк-Горбунок,2021,111.0,"['фэнтези', 'комедия', 'приключения', 'семейный']",7.307,5.7,0.0,90.0,656431,1450,0,10,9853891.68,2021-02-18T00:00:00.000Z,2021-02-18T00:00:00.000Z,15735746.0
Бесславные ублюдки,2009,153.0,"['боевик', 'драма', 'комедия', 'военный']",8.012,8.4,7.9,80.0,653321,1657496,334,10,70000000.0,2009-08-20T00:00:00.000Z,2009-05-20T00:00:00.000Z,321455689.0
Джокер,2019,122.0,"['драма', 'криминал', 'триллер']",7.996,8.3,7.3,89.2857,649534,1586240,598,28,55000000.0,2019-10-03T00:00:00.000Z,2019-08-31T00:00:00.000Z,1078751311.0
Дьявол носит Prada,2006,109.0,"['драма', 'комедия']",7.704,6.9,6.6,0.0,648136,493261,193,2,35000000.0,2006-10-05T00:00:00.000Z,2006-06-19T00:00:00.000Z,326551094.0
Один дома 2: Затерянный в Нью-Йорке,1992,119.0,"['комедия', 'семейный', 'приключения']",8.033,6.9,4.5,0.0,646172,425265,57,0,18000000.0,1994-12-23T00:00:00.000Z,1992-11-15T00:00:00.000Z,358994850.0
Баба Яга спасает мир,2023,90.0,"['фэнтези', 'комедия', 'семейный', 'приключения']",7.274,0.0,0.0,0.0,640917,0,0,0,112164013.0,2023-08-03T00:00:00.000Z,2023-08-03T00:00:00.000Z,112164013.0
Исчезнувшая,2014,149.0,"['триллер', 'драма', 'детектив']",7.962,8.1,8.1,96.2963,640472,1109040,376,27,61000000.0,2014-10-02T00:00:00.000Z,2014-09-26T00:00:00.000Z,369330363.0
Престиж,2006,130.0,"['триллер', 'фантастика', 'драма', 'детектив']",8.516,8.5,7.1,33.3333,639524,1497557,207,3,40000000.0,2007-01-18T00:00:00.000Z,2006-10-17T00:00:00.000Z,109676311.0
Однажды в… Голливуде,2019,161.0,"['драма', 'комедия']",7.68,7.6,7.9,100.0,636013,892048,580,13,90000000.0,2019-08-08T00:00:00.000Z,2019-05-21T00:00:00.000Z,377426903.0
Круэлла,2021,134.0,"['комедия', 'криминал', 'драма']",7.579,7.3,6.8,67.8571,634697,278686,416,28,200000000.0,2021-06-03T00:00:00.000Z,2021-05-18T00:00:00.000Z,233503234.0
Хатико: Самый верный друг,2008,89.0,"['драма', 'семейный', 'биография']",8.365,8.1,5.9,80.0,624292,317152,28,5,16000000.0,2009-10-22T00:00:00.000Z,2009-06-13T00:00:00.000Z,46184345.0
Гарри Поттер и Дары Смерти: Часть II,2011,130.0,"['фэнтези', 'детектив', 'приключения', 'семейный']",8.164,8.1,8.4,83.3333,623882,985963,331,12,125000000.0,2011-07-13T00:00:00.000Z,2011-07-07T00:00:00.000Z,1356841355.0
Пираты Карибского моря: На краю света,2007,169.0,"['приключения', 'боевик', 'фэнтези']",8.066,7.1,5.5,0.0,622677,713225,226,2,300000000.0,2007-05-24T00:00:00.000Z,2007-05-19T00:00:00.000Z,960996492.0
Властелин колец: Возвращение короля,2003,201.0,"['фэнтези', 'приключения', 'драма', 'боевик']",8.674,9.0,8.7,100.0,616774,2056173,280,8,94000000.0,2004-01-22T00:00:00.000Z,2003-12-01T00:00:00.000Z,1156194180.0
Большой куш,2000,104.0,"['криминал', 'комедия', 'боевик']",8.554,8.2,6.4,100.0,616751,937434,142,3,10000000.0,2001-05-10T00:00:00.000Z,2000-08-23T00:00:00.000Z,83557872.0
Главный герой,2021,115.0,"['фантастика', 'боевик', 'комедия', 'мелодрама']",7.373,7.1,7.0,85.7143,616629,456909,296,14,120000000.0,2021-08-12T00:00:00.000Z,2021-08-10T00:00:00.000Z,331526598.0
Иван Васильевич меняет всё,2023,106.0,"['комедия', 'фантастика', 'приключения']",6.57,4.4,0.0,0.0,616005,679,0,2,112164013.0,2023-12-31T00:00:00.000Z,2023-12-31T00:00:00.000Z,112164013.0
Первому игроку приготовиться,2018,140.0,"['фантастика', 'боевик', 'приключения']",7.445,7.4,6.8,92.5926,615582,510168,441,27,175000000.0,2018-03-29T00:00:00.000Z,2018-03-11T00:00:00.000Z,583490172.0
Всё везде и сразу,2021,139.0,"['фантастика', 'комедия', 'боевик', 'приключения', 'драма']",7.192,7.8,8.6,90.0,615276,573410,406,10,25000000.0,2022-04-07T00:00:00.000Z,2022-03-11T00:00:00.000Z,139407019.0
Алита: Боевой ангел,2019,121.0,"['фантастика', 'боевик', 'приключения']",7.233,7.3,6.0,66.6667,607461,308371,329,12,170000000.0,2019-02-14T00:00:00.000Z,2019-01-31T00:00:00.000Z,404980543.0
Легенда №17,2012,134.0,"['биография', 'спорт', 'драма']",7.995,7.4,0.0,85.2941,605772,6289,0,34,10900000.0,2013-04-18T00:00:00.000Z,2013-04-18T00:00:00.000Z,16096860.0
Хоббит: Нежданное путешествие,2012,169.0,"['фэнтези', 'приключения', 'боевик']",8.113,7.8,6.6,90.0,604109,896964,302,30,180000000.0,2012-12-19T00:00:00.000Z,2012-11-28T00:00:00.000Z,1017003568.0
Шоу Трумана,1998,103.0,"['драма', 'комедия']",8.282,8.2,8.5,0.0,602289,1259573,162,0,60000000.0,1998-11-05T00:00:00.000Z,1998-06-01T00:00:00.000Z,264118201.0
Властелин колец: Две крепости,2002,179.0,"['фэнтези', 'приключения', 'драма', 'боевик']",8.615,8.8,8.5,83.3333,601166,1853227,258,6,94000000.0,2003-01-22T00:00:00.000Z,2002-12-05T00:00:00.000Z,948945489.0
Беляковы в отпуске,2024,93.0,['комедия'],7.339,0.0,0.0,0.0,599406,0,0,1,112164013.0,2024-09-26T00:00:00.000Z,2024-09-26T00:00:00.000Z,112164013.0
Далласский клуб покупателей,2013,118.0,"['драма', 'биография']",7.948,7.9,7.8,83.3333,594117,531483,264,18,5000000.0,2014-02-27T00:00:00.000Z,2013-09-07T00:00:00.000Z,55198285.0
Лига справедливости Зака Снайдера,2021,242.0,"['фантастика', 'боевик', 'фэнтези']",7.809,7.9,6.7,92.3077,591129,452861,314,26,300000000.0,2021-03-18T00:00:00.000Z,2021-03-18T00:00:00.000Z,112164013.0
Люди в чёрном,1997,98.0,"['фантастика', 'боевик', 'комедия', 'приключения']",8.041,7.3,7.5,0.0,586230,632851,93,0,90000000.0,1997-09-16T00:00:00.000Z,1997-06-25T00:00:00.000Z,589390539.0
Гарри Поттер и Кубок огня,2005,157.0,"['фэнтези', 'приключения', 'семейный']",7.968,7.7,7.4,0.0,579663,709933,256,1,150000000.0,2005-12-22T00:00:00.000Z,2005-11-06T00:00:00.000Z,897048705.0
Живая сталь,2011,127.0,"['фантастика', 'боевик', 'семейный']",7.668,7.1,5.9,71.4286,576587,367780,233,7,110000000.0,2011-10-06T00:00:00.000Z,2011-09-06T00:00:00.000Z,299268508.0
Константин: Повелитель тьмы,2005,121.0,"['фэнтези', 'ужасы', 'боевик', 'детектив']",7.868,7.0,5.5,75.0,571069,387982,224,4,100000000.0,2005-03-24T00:00:00.000Z,2005-02-07T00:00:00.000Z,230884728.0
Чарли и шоколадная фабрика,2005,115.0,"['мюзикл', 'фэнтези', 'комедия', 'приключения', 'семейный']",7.639,6.7,7.2,0.0,570941,546514,229,1,150000000.0,2005-08-25T00:00:00.000Z,2005-07-10T00:00:00.000Z,474968763.0
Счастливое число Слевина,2005,110.0,"['триллер', 'драма', 'криминал']",8.137,7.7,5.9,80.0,569108,328413,154,5,27000000.0,2006-04-13T00:00:00.000Z,2006-02-24T00:00:00.000Z,56308881.0
Маска,1994,101.0,"['комедия', 'фэнтези', 'криминал']",7.986,7.0,6.5,0.0,569065,440857,56,1,23000000.0,1994-12-14T00:00:00.000Z,1994-07-28T00:00:00.000Z,351583407.0
Брюс Всемогущий,2003,97.0,"['фэнтези', 'комедия', 'драма']",7.746,6.8,5.7,0.0,565881,448336,190,2,81000000.0,2003-09-18T00:00:00.000Z,2003-05-14T00:00:00.000Z,484592874.0
Омерзительная восьмерка,2015,168.0,"['вестерн', 'криминал', 'триллер', 'драма', 'детектив']",7.995,7.8,7.3,87.0968,564841,684481,333,31,44000000.0,2016-01-14T00:00:00.000Z,2015-12-07T00:00:00.000Z,155760117.0
Грань будущего,2014,113.0,"['фантастика', 'боевик', 'приключения']",7.942,7.9,7.5,95.0,564830,764952,338,20,178000000.0,2014-06-05T00:00:00.000Z,2014-05-28T00:00:00.000Z,370541256.0
Лулу и Бриггс,2021,101.0,"['комедия', 'драма', 'приключения']",7.413,6.5,6.2,0.0,561360,49095,158,2,15000000.0,2022-02-23T00:00:00.000Z,2022-02-14T00:00:00.000Z,84550282.0
Довод,2020,150.0,"['фантастика', 'боевик', 'триллер']",7.512,7.3,6.9,58.6207,557951,624167,379,29,205000000.0,2020-09-03T00:00:00.000Z,2020-08-22T00:00:00.000Z,365304105.0
Лучшее предложение,2012,131.0,"['триллер', 'драма', 'криминал']",8.028,7.8,5.9,66.6667,556828,130334,33,6,14715000.000000002,2013-08-01T00:00:00.000Z,2013-01-01T00:00:00.000Z,20596350.0
Валериан и город тысячи планет,2017,136.0,"['фантастика', 'фэнтези', 'боевик', 'приключения']",6.947,6.4,5.5,76.1905,555635,202540,297,21,177200000.0,2017-08-10T00:00:00.000Z,2017-07-17T00:00:00.000Z,225874228.0
Молчание ягнят,1990,118.0,"['триллер', 'детектив', 'криминал', 'драма', 'ужасы']",8.334,8.6,8.8,0.0,553778,1614094,153,1,19000000.0,2021-09-16T00:00:00.000Z,1991-01-30T00:00:00.000Z,272742922.0
Человек-паук,2002,121.0,"['фантастика', 'боевик', 'приключения']",7.751,7.4,7.6,0.0,553271,912675,249,0,139000000.0,2002-05-01T00:00:00.000Z,2002-04-30T00:00:00.000Z,821708551.0
Тор: Рагнарёк,2017,130.0,"['фантастика', 'фэнтези', 'боевик', 'комедия', 'приключения']",7.715,7.9,7.6,90.4762,549835,845422,439,21,180000000.0,2017-11-02T00:00:00.000Z,2017-10-10T00:00:00.000Z,853977126.0
Время,2011,109.0,"['фантастика', 'мелодрама', 'боевик']",7.277,6.7,5.3,44.4444,549513,462495,173,9,40000000.0,2011-10-27T00:00:00.000Z,2011-09-30T00:00:00.000Z,173930596.0
Одержимость,2013,106.0,"['драма', 'музыка']",8.362,8.5,8.6,100.0,549306,1053020,305,14,3300000.0,2014-10-23T00:00:00.000Z,2014-01-16T00:00:00.000Z,48982041.0
Человек-паук: Вдали от дома,2019,129.0,"['фантастика', 'боевик', 'комедия', 'приключения', 'фэнтези']",7.417,7.4,7.4,100.0,547753,587121,457,9,160000000.0,2019-07-04T00:00:00.000Z,2019-06-26T00:00:00.000Z,1131927996.0
"Карты, деньги, два ствола",1998,107.0,"['боевик', 'комедия', 'криминал']",8.559,8.1,6.7,0.0,547479,630965,67,1,1248000.0,1999-05-06T00:00:00.000Z,1998-08-23T00:00:00.000Z,3753929.0
