Название,Год выпуска,Длительность,Жанры,Рейтинг КиноПоиск,Рейтинг IMDB,Рейтинг кинокритиков,Рейтинг российских кинокритиков,Голоса КиноПоиск,Голоса IMDB,Голоса кинокритиков,Голоса российских кинокритиков,Бюджет,Дата премьеры в России,Дата премьеры в мире,Мировые кассовые сборы
Тэмпл Грандин,2010,107.0,"['драма', 'биография']",8.005,8.2,8.7,0.0,33997,34037,30,0,112164013.0,2010-02-06T00:00:00.000Z,2010-02-06T00:00:00.000Z,112164013.0
Горячие головы 2,1993,86.0,"['боевик', 'комедия']",7.551,6.6,5.7,0.0,33982,100013,34,0,25000000.0,1994-04-11T00:00:00.000Z,1993-05-21T00:00:00.000Z,133752825.0
Райские холмы,2018,95.0,"['фантастика', 'фэнтези', 'триллер', 'детектив']",6.046,5.2,6.3,0.0,33978,17870,71,0,112164013.0,2019-11-07T00:00:00.000Z,2019-01-26T00:00:00.000Z,414515.0
Тайная жизнь,2019,174.0,"['драма', 'военный', 'биография', 'история']",7.385,7.4,7.4,100.0,33977,29819,233,4,112164013.0,2020-03-19T00:00:00.000Z,2019-05-19T00:00:00.000Z,4645140.0
Идеальное алиби,2022,104.0,"['триллер', 'драма', 'мелодрама', 'криминал', 'детектив']",5.918,4.3,0.0,0.0,33954,1781,0,1,112164013.0,2023-02-19T00:00:00.000Z,2022-08-22T00:00:00.000Z,112164013.0
Нянька по вызову,2009,95.0,"['мелодрама', 'комедия']",6.841,6.3,4.8,0.0,33950,51100,27,0,112164013.0,2009-10-01T00:00:00.000Z,2009-09-16T00:00:00.000Z,21791288.0
Воспоминания из будущего,2021,99.0,"['триллер', 'детектив', 'криминал']",7.099,6.7,0.0,0.0,33935,5621,0,0,112164013.0,2021-04-21T00:00:00.000Z,2021-04-21T00:00:00.000Z,2686789.0
Техасская резня бензопилой: Кожаное лицо,2017,90.0,"['ужасы', 'триллер', 'криминал']",5.251,5.0,3.9,50.0,33931,29253,44,4,112164013.0,2017-09-21T00:00:00.000Z,2017-08-25T00:00:00.000Z,1476843.0
Еще одна история о Золушке,2008,90.0,"['мелодрама', 'комедия', 'семейный', 'музыка']",6.438,5.8,0.0,0.0,33894,31858,0,0,5000000.0,2008-02-27T00:00:00.000Z,2008-02-27T00:00:00.000Z,112164013.0
Элла и чёрный ягуар,2024,100.0,"['комедия', 'приключения', 'семейный']",8.002,5.6,0.0,0.0,33854,954,0,0,112164013.0,2024-02-08T00:00:00.000Z,2024-02-01T00:00:00.000Z,22021437.0
Скауты против зомби,2015,93.0,"['ужасы', 'боевик', 'комедия']",5.953,6.3,4.8,75.0,33835,57457,95,4,15000000.0,2015-10-29T00:00:00.000Z,2015-10-23T00:00:00.000Z,16137046.0
Про любоff,2010,106.0,['мелодрама'],6.285,5.8,0.0,0.0,33826,303,0,0,2000000.0,2010-09-30T00:00:00.000Z,2010-09-30T00:00:00.000Z,1268793.0
Творение богов,2023,148.0,"['фэнтези', 'боевик', 'драма']",6.915,6.7,6.3,0.0,33824,5461,10,0,110000000.0,2024-10-03T00:00:00.000Z,2023-07-10T00:00:00.000Z,392726254.0
Юнайтед. Мюнхенская трагедия,2011,94.0,"['драма', 'история', 'спорт']",7.681,7.3,0.0,0.0,33813,13464,0,0,112164013.0,2011-01-02T00:00:00.000Z,2011-01-02T00:00:00.000Z,112164013.0
Охотники,2013,85.0,"['фантастика', 'фэнтези', 'приключения']",5.954,4.9,0.0,0.0,33808,4597,0,0,112164013.0,2013-10-25T00:00:00.000Z,2013-10-25T00:00:00.000Z,112164013.0
Одни на каникулах,2022,85.0,"['приключения', 'комедия', 'фантастика', 'семейный']",7.58,6.2,0.0,0.0,33807,407,0,0,112164013.0,2023-01-12T00:00:00.000Z,2022-12-14T00:00:00.000Z,2763833.0
За Палыча!,2023,90.0,['комедия'],5.859,0.0,0.0,0.0,33787,0,0,0,1668000.0,2023-07-27T00:00:00.000Z,2023-07-27T00:00:00.000Z,112164013.0
Однажды в пустыне,2022,121.0,"['военный', 'боевик', 'драма', 'история']",6.991,0.0,0.0,0.0,33750,0,0,1,7200000.0,2022-02-17T00:00:00.000Z,2022-02-17T00:00:00.000Z,112164013.0
Пила. Джокер,2024,101.0,"['ужасы', 'триллер']",5.887,4.6,0.0,0.0,33749,2779,0,1,112164013.0,2024-02-29T00:00:00.000Z,2024-02-20T00:00:00.000Z,217493.0
