name,type,year,movieLength,genres,rating.kp,rating.imdb,rating.filmCritics,rating.russianFilmCritics,rating.await,votes.kp,votes.imdb,votes.filmCritics,votes.russianFilmCritics,votes.await,budget.currency,budget.value,premiere.country,premiere.digital,premiere.cinema,premiere.bluray,premiere.dvd,premiere.russia,premiere.world,fees.russia.value,fees.russia.currency,fees.usa.value,fees.usa.currency,fees.world.value,fees.world.currency,distributors.distributor,distributors.distributorRelease,fees.russia,fees.usa,fees.world
1+1,movie,2011,112.0,"[{'name': 'драма'}, {'name': 'комедия'}]",8.846,8.5,6.8,100.0,,2431363,966636,128,12,0,€,9500000.0,,,,2012-06-25T00:00:00.000Z,2012-05-28T00:00:00.000Z,2012-04-26T00:00:00.000Z,2011-09-23T00:00:00.000Z,1725813.0,$,10198820.0,$,426588510.0,$,,,,,
Джентльмены,movie,2019,113.0,"[{'name': 'криминал'}, {'name': 'комедия'}, {'name': 'боевик'}]",8.626,7.8,6.6,86.3636,,2145499,427468,278,22,0,$,22000000.0,,2020-03-31T00:00:00.000Z,,,,2020-02-13T00:00:00.000Z,2019-12-03T00:00:00.000Z,18003343.0,$,36471795.0,$,115171795.0,$,,,,,
Брат,movie,1997,96.0,"[{'name': 'драма'}, {'name': 'криминал'}, {'name': 'боевик'}]",8.338,7.8,7.6,0.0,,1572786,26162,5,2,0,,,,,,,2007-08-30T00:00:00.000Z,1997-12-12T00:00:00.000Z,1997-05-17T00:00:00.000Z,,,,,1362281.0,$,,,,,
Гнев человеческий,movie,2021,119.0,"[{'name': 'боевик'}, {'name': 'триллер'}]",7.668,7.1,6.3,72.2222,,1548405,221419,260,36,0,$,40000000.0,,2021-06-04T00:00:00.000Z,,,,2021-04-22T00:00:00.000Z,2021-04-22T00:00:00.000Z,13318455.0,$,27466489.0,$,103966489.0,$,,,,,
Волк с Уолл-стрит,movie,2013,180.0,"[{'name': 'драма'}, {'name': 'криминал'}, {'name': 'биография'}, {'name': 'комедия'}]",8.033,8.2,7.8,77.4194,,1460341,1660210,284,31,0,$,100000000.0,,,,2014-12-04T00:00:00.000Z,2014-12-04T00:00:00.000Z,2014-02-06T00:00:00.000Z,2013-12-09T00:00:00.000Z,13796916.0,$,116900694.0,$,392000694.0,$,,,,,
Холоп 2,movie,2023,119.0,[{'name': 'комедия'}],7.159,5.7,0.0,40.0,,1299618,1021,0,10,0,₽,768000000.0,,2024-03-08T00:00:00.000Z,,,,2024-01-01T00:00:00.000Z,,44459991.0,$,,,,,,,,,
Зеленая книга,movie,2018,130.0,"[{'name': 'биография'}, {'name': 'комедия'}, {'name': 'драма'}]",8.517,8.2,7.2,93.3333,,1277785,621397,362,15,0,$,23000000.0,,2019-02-25T00:00:00.000Z,,,,2019-01-24T00:00:00.000Z,2018-09-11T00:00:00.000Z,9319859.0,$,85080171.0,$,321752656.0,$,,,,,
По щучьему велению,movie,2023,115.0,"[{'name': 'фэнтези'}, {'name': 'приключения'}, {'name': 'семейный'}]",7.757,6.2,0.0,0.0,,1263019,804,0,2,0,,,,,,,,2023-10-26T00:00:00.000Z,2023-11-24T00:00:00.000Z,28757189.0,$,,,,,,,,,
Достать ножи,movie,2019,130.0,"[{'name': 'детектив'}, {'name': 'комедия'}, {'name': 'драма'}, {'name': 'криминал'}]",8.15,7.9,8.3,89.4737,,1251521,808111,471,19,0,$,40000000.0,,2020-02-20T00:00:00.000Z,,,,2019-11-28T00:00:00.000Z,2019-09-07T00:00:00.000Z,6288706.0,$,165363234.0,$,312897920.0,$,,,,,
Один дома,movie,1990,103.0,"[{'name': 'комедия'}, {'name': 'семейный'}]",8.279,7.7,5.9,0.0,,1229126,690373,116,0,0,$,18000000.0,,,,,2005-12-13T00:00:00.000Z,1993-12-27T00:00:00.000Z,1990-11-10T00:00:00.000Z,,,285761243.0,$,476684675.0,$,,Гемини-Фильм,,,
Брат 2,movie,2000,127.0,"[{'name': 'боевик'}, {'name': 'криминал'}]",8.25,7.6,0.0,0.0,,1204445,18503,0,1,0,$,1500000.0,,,,,2007-09-13T00:00:00.000Z,2000-05-11T00:00:00.000Z,2000-08-30T00:00:00.000Z,1080000.0,$,,,543825.0,$,,,,,
Остров проклятых,movie,2009,138.0,"[{'name': 'триллер'}, {'name': 'детектив'}, {'name': 'драма'}]",8.545,8.2,6.7,85.7143,,1172974,1531958,263,7,0,$,80000000.0,,,,2010-03-25T00:00:00.000Z,2010-03-25T00:00:00.000Z,2010-02-18T00:00:00.000Z,2010-02-13T00:00:00.000Z,5430049.0,$,128012934.0,$,294804195.0,$,,,,,
Иван Васильевич меняет профессию,movie,1973,88.0,"[{'name': 'комедия'}, {'name': 'фантастика'}, {'name': 'приключения'}]",8.79,8.2,0.0,0.0,,1157005,19266,0,0,0,,,,,,2011-03-09T00:00:00.000Z,2009-06-09T00:00:00.000Z,,1973-09-17T00:00:00.000Z,,,,,,,,,,,
Аватар,movie,2009,162.0,"[{'name': 'фантастика'}, {'name': 'боевик'}, {'name': 'драма'}, {'name': 'приключения'}]",7.982,7.9,7.5,76.9231,,1122440,1420175,334,13,0,$,237000000.0,,,,2010-04-29T00:00:00.000Z,2010-04-22T00:00:00.000Z,2009-12-17T00:00:00.000Z,2009-12-10T00:00:00.000Z,119903638.0,$,785221649.0,$,2923706026.0,$,Двадцатый Век Фокс СНГ,Двадцатый Век Фокс СНГ,,,
Бойцовский клуб,movie,1999,139.0,"[{'name': 'триллер'}, {'name': 'драма'}, {'name': 'криминал'}]",8.673,8.8,7.4,0.0,,1111940,2430330,185,2,0,$,63000000.0,,,,2009-12-17T00:00:00.000Z,2007-08-09T00:00:00.000Z,2000-01-13T00:00:00.000Z,1999-09-10T00:00:00.000Z,334590.0,$,37030102.0,$,100853753.0,$,,,,,
Операция «Ы» и другие приключения Шурика,movie,1965,95.0,"[{'name': 'комедия'}, {'name': 'мелодрама'}, {'name': 'криминал'}]",8.73,8.4,0.0,0.0,,1095752,15479,0,0,0,,,,,,2013-05-21T00:00:00.000Z,2011-01-11T00:00:00.000Z,,1965-07-23T00:00:00.000Z,,,,,,,,,,,
Холоп,movie,2019,109.0,"[{'name': 'комедия'}, {'name': 'мелодрама'}]",7.173,6.6,0.0,60.0,,1081698,5940,0,10,0,₽,160000000.0,,2020-02-26T00:00:00.000Z,,,,2019-12-26T00:00:00.000Z,2019-11-24T00:00:00.000Z,62229664.0,$,,,50263878.0,$,,,,,
Побег из Шоушенка,movie,1994,142.0,[{'name': 'драма'}],9.109,9.3,8.3,0.0,,1067212,3006077,146,2,0,$,25000000.0,,,,2009-08-27T00:00:00.000Z,1999-09-01T00:00:00.000Z,2019-10-24T00:00:00.000Z,1994-09-10T00:00:00.000Z,87432.0,$,28341469.0,$,28418687.0,$,Иноекино,"Videogram, Союз-Видео",,,
Переводчик,movie,2022,123.0,"[{'name': 'боевик'}, {'name': 'триллер'}, {'name': 'военный'}, {'name': 'история'}, {'name': 'драма'}]",7.889,7.5,6.8,75.0,,1051589,185624,118,20,0,$,55000000.0,,2023-06-02T00:00:00.000Z,,,,2023-06-01T00:00:00.000Z,2023-04-19T00:00:00.000Z,3527720.0,$,16938039.0,$,21948551.0,$,,,,,
Гарри Поттер и философский камень,movie,2001,152.0,"[{'name': 'фэнтези'}, {'name': 'приключения'}, {'name': 'семейный'}]",8.287,7.7,7.0,0.0,,1041093,894751,202,2,0,$,125000000.0,,,,2008-12-23T00:00:00.000Z,2002-08-28T00:00:00.000Z,2002-03-21T00:00:00.000Z,2001-11-04T00:00:00.000Z,5474384.0,$,318886962.0,$,1024392020.0,$,Каро-Премьер,"Мост-Видео, Юниверсал Пикчерс Рус",,,
Интерстеллар,movie,2014,169.0,"[{'name': 'фантастика'}, {'name': 'драма'}, {'name': 'приключения'}]",8.653,8.7,7.1,80.6452,,1040407,2281773,375,31,0,$,165000000.0,,,,2015-04-09T00:00:00.000Z,2015-04-09T00:00:00.000Z,2014-11-06T00:00:00.000Z,2014-10-26T00:00:00.000Z,26192066.0,$,192445017.0,$,736546575.0,$,Каро-Премьер,CP Дистрибуция,,,
Зеленая миля,movie,1999,189.0,"[{'name': 'драма'}, {'name': 'фэнтези'}, {'name': 'криминал'}]",9.076,8.6,6.8,66.6667,,1026948,1468037,136,3,0,$,60000000.0,,,,,2001-02-13T00:00:00.000Z,2000-04-18T00:00:00.000Z,1999-12-06T00:00:00.000Z,,,136801374.0,$,286801374.0,$,West,West Video,,,
Начало,movie,2010,148.0,"[{'name': 'фантастика'}, {'name': 'боевик'}, {'name': 'триллер'}, {'name': 'драма'}, {'name': 'детектив'}]",8.667,8.8,8.2,80.9524,,1026097,2651597,368,21,0,$,160000000.0,,,,2010-12-07T00:00:00.000Z,2010-12-07T00:00:00.000Z,2010-07-22T00:00:00.000Z,2010-07-08T00:00:00.000Z,21691531.0,$,292576195.0,$,828322032.0,$,Каро-Премьер,Юниверсал Пикчерс Рус,,,
Легенда,movie,2015,131.0,"[{'name': 'криминал'}, {'name': 'триллер'}, {'name': 'драма'}]",7.242,6.9,5.9,76.9231,,1020493,211532,171,13,0,$,30000000.0,,,,2016-02-01T00:00:00.000Z,2016-02-01T00:00:00.000Z,2015-10-01T00:00:00.000Z,2015-09-03T00:00:00.000Z,2339330.0,$,1872994.0,$,42972994.0,$,,,,,
Любовь и голуби,movie,1984,107.0,"[{'name': 'мелодрама'}, {'name': 'комедия'}]",8.29,7.9,0.0,0.0,,1003495,5713,0,0,0,,,,,,2010-12-15T00:00:00.000Z,2011-01-11T00:00:00.000Z,,1985-01-07T00:00:00.000Z,,,,,,,,,,,
Пираты Карибского моря: Проклятие Черной жемчужины,movie,2003,143.0,"[{'name': 'фэнтези'}, {'name': 'боевик'}, {'name': 'приключения'}]",8.38,8.1,7.1,0.0,,1002950,1252234,219,2,0,$,140000000.0,,,,2009-10-01T00:00:00.000Z,2011-04-26T00:00:00.000Z,2003-08-20T00:00:00.000Z,2003-06-28T00:00:00.000Z,9060000.0,$,305413918.0,$,654264015.0,$,Каскад фильм,Уолт Дисней Компани СНГ,,,
Батя,movie,2020,76.0,"[{'name': 'комедия'}, {'name': 'мелодрама'}]",7.755,6.7,0.0,100.0,,977260,1684,0,8,0,,,,2021-03-18T00:00:00.000Z,,,,2021-02-23T00:00:00.000Z,,9404757.0,$,,,,,,,,,
Веном,movie,2018,112.0,"[{'name': 'фантастика'}, {'name': 'боевик'}, {'name': 'триллер'}, {'name': 'ужасы'}]",6.936,6.6,4.5,41.1765,,943110,569819,364,17,0,$,100000000.0,,2018-12-20T00:00:00.000Z,,,,2018-10-04T00:00:00.000Z,2018-10-01T00:00:00.000Z,32747628.0,$,213515506.0,$,856085151.0,$,WDSSPR,,,,
Форрест Гамп,movie,1994,142.0,"[{'name': 'драма'}, {'name': 'комедия'}, {'name': 'мелодрама'}, {'name': 'история'}, {'name': 'военный'}]",8.921,8.8,7.8,0.0,,942522,2351465,158,1,0,$,55000000.0,,,,,2009-12-01T00:00:00.000Z,2020-02-13T00:00:00.000Z,1994-06-23T00:00:00.000Z,84460.0,$,329694499.0,$,677387716.0,$,Иноекино,Юниверсал Пикчерс Рус,,,
Области тьмы,movie,2011,105.0,"[{'name': 'триллер'}, {'name': 'драма'}, {'name': 'фантастика'}]",8.019,7.4,6.3,75.0,,932194,625633,201,8,0,$,26000000.0,,,,2011-05-19T00:00:00.000Z,2011-05-19T00:00:00.000Z,2011-03-17T00:00:00.000Z,2011-03-08T00:00:00.000Z,6199604.0,$,79249455.0,$,161849455.0,$,,,,,
Анора,movie,2024,139.0,"[{'name': 'драма'}, {'name': 'мелодрама'}, {'name': 'комедия'}]",6.492,7.6,8.5,75.0,,912545,140425,333,28,0,$,6000000.0,,2025-01-21T00:00:00.000Z,,,,2024-10-17T00:00:00.000Z,2024-05-21T00:00:00.000Z,3031039.0,$,18919247.0,$,47195247.0,$,,,,,
Вышка,movie,2022,107.0,[{'name': 'триллер'}],6.752,6.4,6.4,0.0,,897467,119690,150,1,0,$,3000000.0,,2022-09-28T00:00:00.000Z,,,,2022-08-11T00:00:00.000Z,2022-08-10T00:00:00.000Z,2714652.0,$,7240521.0,$,17946131.0,$,,,,,
Титаник,movie,1997,194.0,"[{'name': 'мелодрама'}, {'name': 'история'}, {'name': 'триллер'}, {'name': 'драма'}]",8.386,7.9,8.1,0.0,,895614,1326722,255,0,0,$,200000000.0,,,,2012-09-13T00:00:00.000Z,2005-12-13T00:00:00.000Z,1998-02-20T00:00:00.000Z,1997-11-01T00:00:00.000Z,18400000.0,$,674292608.0,$,2264743305.0,$,"Гемини, Двадцатый Век Фокс СНГ","Гемини-Фильм, Двадцатый Век Фокс СНГ",,,
Джентльмены удачи,movie,1971,84.0,"[{'name': 'комедия'}, {'name': 'драма'}, {'name': 'криминал'}, {'name': 'детектив'}]",8.554,8.3,0.0,0.0,,892646,13457,0,1,0,,,,,,2012-03-13T00:00:00.000Z,2011-01-11T00:00:00.000Z,,1971-12-13T00:00:00.000Z,,,,,10560943.0,$,,,,,
Операция «Фортуна»: Искусство побеждать,movie,2022,114.0,"[{'name': 'боевик'}, {'name': 'комедия'}]",7.128,6.3,5.6,82.3529,,883875,98852,149,17,0,$,50000000.0,,2023-03-24T00:00:00.000Z,,,,2023-01-12T00:00:00.000Z,2023-01-03T00:00:00.000Z,9735007.0,$,6496125.0,$,48983306.0,$,,,,,
Мстители: Война бесконечности,movie,2018,149.0,"[{'name': 'фантастика'}, {'name': 'боевик'}, {'name': 'приключения'}]",8.09,8.4,7.6,86.3636,,868259,1266900,486,22,0,$,321000000.0,,2018-08-03T00:00:00.000Z,,,,2018-05-03T00:00:00.000Z,2018-04-23T00:00:00.000Z,34793936.0,$,678815482.0,$,2048359754.0,$,WDSSPR,,,,
Леон,movie,1994,133.0,"[{'name': 'боевик'}, {'name': 'триллер'}, {'name': 'драма'}, {'name': 'криминал'}]",8.673,8.5,6.9,0.0,,867067,1290744,67,2,0,FRF,115000000.0,,2023-07-10T00:00:00.000Z,,2010-11-10T00:00:00.000Z,2007-03-29T00:00:00.000Z,1995-02-27T00:00:00.000Z,1994-09-14T00:00:00.000Z,19195.0,$,19501238.0,$,19881466.0,$,,,,,
Законопослушный гражданин,movie,2009,108.0,"[{'name': 'боевик'}, {'name': 'триллер'}, {'name': 'драма'}, {'name': 'криминал'}]",8.044,7.4,4.5,20.0,,844594,330856,161,5,0,$,50000000.0,,,,,2009-12-03T00:00:00.000Z,2009-11-04T00:00:00.000Z,2009-09-23T00:00:00.000Z,2133270.0,$,73357727.0,$,126690726.0,$,,,,,
Пчеловод,movie,2024,105.0,"[{'name': 'боевик'}, {'name': 'криминал'}]",7.212,6.3,5.9,100.0,,836175,152071,182,5,0,$,40000000.0,,,,,,2024-08-29T00:00:00.000Z,2024-01-08T00:00:00.000Z,,,66220535.0,$,162619535.0,$,,,,,
Субстанция,movie,2024,141.0,"[{'name': 'ужасы'}, {'name': 'драма'}]",6.285,7.3,8.0,91.3043,,818771,274885,363,23,0,$,17500000.0,,2024-11-29T00:00:00.000Z,,,,2024-09-19T00:00:00.000Z,2024-05-19T00:00:00.000Z,6814580.0,$,17575160.0,$,77307177.0,$,,,,,
Мстители: Финал,movie,2019,181.0,"[{'name': 'фантастика'}, {'name': 'боевик'}, {'name': 'драма'}, {'name': 'приключения'}]",7.89,8.4,8.2,68.75,,815886,1333115,552,16,0,$,356000000.0,,2019-08-02T00:00:00.000Z,,,,2019-04-29T00:00:00.000Z,2019-04-18T00:00:00.000Z,47450130.0,$,858373000.0,$,2799439100.0,$,WDSSPR,,,,
Достучаться до небес,movie,1997,87.0,"[{'name': 'драма'}, {'name': 'комедия'}, {'name': 'криминал'}]",8.646,7.8,0.0,100.0,,812299,35032,0,3,0,DEM,4300000.0,,,,,2008-02-28T00:00:00.000Z,1997-11-01T00:00:00.000Z,1997-02-20T00:00:00.000Z,,,5710.0,$,214139.0,$,,,,,
Криминальное чтиво,movie,1994,154.0,"[{'name': 'криминал'}, {'name': 'драма'}]",8.653,8.9,9.3,100.0,,809442,2305105,186,7,0,$,8000000.0,,,,2013-09-11T00:00:00.000Z,2002-01-31T00:00:00.000Z,1995-09-29T00:00:00.000Z,1994-05-21T00:00:00.000Z,83843.0,$,107928762.0,$,213928762.0,$,"Каравелла DDC, Аргус-СВ","West Video, Кармен Видео",,,
Дюна,movie,2021,155.0,"[{'name': 'фантастика'}, {'name': 'боевик'}, {'name': 'драма'}, {'name': 'приключения'}]",7.673,8.0,7.7,70.8333,,806369,944788,514,24,0,$,165000000.0,,2021-10-22T00:00:00.000Z,,,,2021-09-16T00:00:00.000Z,2021-09-03T00:00:00.000Z,21931316.0,$,108897830.0,$,407573628.0,$,UPI,,,,
Паразиты,movie,2019,131.0,"[{'name': 'драма'}, {'name': 'триллер'}, {'name': 'комедия'}]",8.043,8.5,9.4,94.7368,,799434,1035365,483,19,0,$,11800000.0,,,,,,2019-07-04T00:00:00.000Z,2019-05-21T00:00:00.000Z,1630822.0,$,53369749.0,$,266600532.0,$,,,,,
"Поймай меня, если сможешь",movie,2002,141.0,"[{'name': 'криминал'}, {'name': 'биография'}, {'name': 'комедия'}]",8.529,8.1,7.9,80.0,,790717,1148550,202,5,0,$,52000000.0,,,,,2004-07-29T00:00:00.000Z,2003-02-13T00:00:00.000Z,2002-12-16T00:00:00.000Z,2427426.0,$,164615351.0,$,352114312.0,$,Ист-Вест,Premier Digital,,,
Бриллиантовая рука,movie,1968,94.0,"[{'name': 'комедия'}, {'name': 'криминал'}]",8.525,8.3,0.0,0.0,,787951,16523,0,1,0,,,,,,2011-12-20T00:00:00.000Z,2009-04-29T00:00:00.000Z,2024-04-25T00:00:00.000Z,1969-04-28T00:00:00.000Z,2258.0,$,,,2266.0,$,,,,,
Иллюзия обмана,movie,2013,115.0,"[{'name': 'криминал'}, {'name': 'триллер'}, {'name': 'детектив'}]",7.74,7.2,5.8,60.0,,782912,730258,171,15,0,$,75000000.0,,,,2013-09-17T00:00:00.000Z,2013-09-17T00:00:00.000Z,2013-06-12T00:00:00.000Z,2013-05-21T00:00:00.000Z,20956962.0,$,117723989.0,$,351723989.0,$,,,,,
Мажор в Сочи,movie,2022,109.0,"[{'name': 'приключения'}, {'name': 'комедия'}]",7.12,0.0,0.0,0.0,,776858,0,0,0,0,,,,2022-12-22T00:00:00.000Z,,,,,,,,,,,,,,,,
"Кавказская пленница, или Новые приключения Шурика",movie,1966,82.0,"[{'name': 'комедия'}, {'name': 'приключения'}, {'name': 'мелодрама'}, {'name': 'мюзикл'}]",8.474,8.3,0.0,0.0,,768029,13787,0,0,0,р.,25313.0,,,,2011-05-26T00:00:00.000Z,2008-09-16T00:00:00.000Z,,1967-04-01T00:00:00.000Z,,,,,,,,,,,
Стражи Галактики,movie,2014,121.0,"[{'name': 'фантастика'}, {'name': 'боевик'}, {'name': 'приключения'}, {'name': 'комедия'}]",7.855,8.0,7.8,83.3333,,764512,1306374,336,18,0,$,170000000.0,,,,2014-12-02T00:00:00.000Z,2014-12-02T00:00:00.000Z,2014-07-31T00:00:00.000Z,2014-07-21T00:00:00.000Z,37881775.0,$,333176600.0,$,772776600.0,$,WDSSPR,Уолт Дисней Компани СНГ,,,
Последний богатырь,movie,2017,114.0,"[{'name': 'фэнтези'}, {'name': 'комедия'}, {'name': 'приключения'}, {'name': 'семейный'}]",7.218,6.4,0.0,72.7273,,763917,3664,0,11,0,,,,2017-12-07T00:00:00.000Z,,,2018-01-30T00:00:00.000Z,2017-10-26T00:00:00.000Z,2017-10-26T00:00:00.000Z,29496851.0,$,,,30618274.0,$,,,,,
Матрица,movie,1999,136.0,"[{'name': 'фантастика'}, {'name': 'боевик'}]",8.498,8.7,7.7,60.0,,755888,2131790,210,5,0,$,63000000.0,,,,2009-01-27T00:00:00.000Z,2000-09-12T00:00:00.000Z,1999-10-14T00:00:00.000Z,1999-03-24T00:00:00.000Z,,,171479930.0,$,463517383.0,$,"Каро-Премьер, Маурис Филм","Мост-Видео, Юниверсал Пикчерс Рус",,,
Темный рыцарь,movie,2008,152.0,"[{'name': 'фантастика'}, {'name': 'боевик'}, {'name': 'триллер'}, {'name': 'криминал'}, {'name': 'драма'}]",8.53,9.0,8.6,50.0,,752675,2983965,343,12,0,$,185000000.0,,,,2009-01-27T00:00:00.000Z,2008-12-09T00:00:00.000Z,2008-08-14T00:00:00.000Z,2008-07-14T00:00:00.000Z,8589100.0,$,533345358.0,$,1003045358.0,$,Каро-Премьер,Юниверсал Пикчерс Рус,,,
Джанго освобожденный,movie,2012,165.0,"[{'name': 'вестерн'}, {'name': 'боевик'}, {'name': 'драма'}, {'name': 'комедия'}]",8.245,8.5,8.0,88.2353,,748294,1766447,296,34,0,$,100000000.0,,,,2013-05-28T00:00:00.000Z,2013-05-28T00:00:00.000Z,2013-01-17T00:00:00.000Z,2012-12-11T00:00:00.000Z,15990907.0,$,162805434.0,$,425368238.0,$,WDSSPR,Columbia/Sony,,,
Девчата,movie,1962,92.0,"[{'name': 'мелодрама'}, {'name': 'комедия'}]",8.482,7.8,0.0,0.0,,745547,4782,0,0,0,,,,,,2012-05-08T00:00:00.000Z,2011-01-11T00:00:00.000Z,,1962-03-07T00:00:00.000Z,,,,,,,,,,,
Москва слезам не верит,movie,1979,150.0,"[{'name': 'мелодрама'}, {'name': 'драма'}, {'name': 'комедия'}]",8.436,8.0,4.8,0.0,,742769,14528,5,1,0,$,900000.0,,,,2011-11-01T00:00:00.000Z,2011-01-11T00:00:00.000Z,,1980-02-11T00:00:00.000Z,17002.0,$,2500000.0,$,2516245.0,$,,,,,
Доктор Стрэндж,movie,2016,115.0,"[{'name': 'фантастика'}, {'name': 'фэнтези'}, {'name': 'боевик'}, {'name': 'приключения'}]",7.529,7.5,7.3,94.7368,,739822,834163,387,19,0,$,165000000.0,,2017-02-14T00:00:00.000Z,,,,2016-10-31T00:00:00.000Z,2016-10-13T00:00:00.000Z,25178707.0,$,232641920.0,$,677718395.0,$,WDSSPR,,,,
Майор Гром: Чумной Доктор,movie,2021,136.0,"[{'name': 'боевик'}, {'name': 'криминал'}, {'name': 'детектив'}, {'name': 'комедия'}]",7.281,6.3,0.0,71.4286,,737613,14280,0,35,0,,,,,,,,2021-04-01T00:00:00.000Z,2021-07-07T00:00:00.000Z,4476689.0,$,,,4493306.0,$,,,,,
Пятый элемент,movie,1997,126.0,"[{'name': 'фантастика'}, {'name': 'боевик'}, {'name': 'комедия'}, {'name': 'мелодрама'}]",8.144,7.6,6.4,66.6667,,724358,522272,70,3,0,$,90000000.0,,,,2010-11-03T00:00:00.000Z,1998-03-01T00:00:00.000Z,1997-09-27T00:00:00.000Z,1997-05-07T00:00:00.000Z,,,63820180.0,$,263920180.0,$,НТВ-Профит,"AMALGAMA, Кармен Видео",,,
Гладиатор,movie,2000,155.0,"[{'name': 'история'}, {'name': 'боевик'}, {'name': 'драма'}, {'name': 'приключения'}]",8.588,8.5,7.4,50.0,,723564,1732787,260,4,0,$,103000000.0,,,,2009-10-06T00:00:00.000Z,,2000-05-18T00:00:00.000Z,2000-05-01T00:00:00.000Z,1280000.0,$,187705427.0,$,460583960.0,$,Ист-Вест,Юниверсал Пикчерс Рус,,,
Мстители,movie,2012,137.0,"[{'name': 'фантастика'}, {'name': 'боевик'}, {'name': 'фэнтези'}, {'name': 'приключения'}]",7.893,8.0,8.1,83.3333,,720074,1495630,364,18,0,$,220000000.0,,,,2012-08-28T00:00:00.000Z,2012-08-28T00:00:00.000Z,2012-05-03T00:00:00.000Z,2012-04-11T00:00:00.000Z,43412056.0,$,623357910.0,$,1518812988.0,$,WDSSPR,Уолт Дисней Компани СНГ,,,
Чебурашка,movie,2022,113.0,"[{'name': 'семейный'}, {'name': 'комедия'}, {'name': 'фэнтези'}]",7.502,5.8,0.0,100.0,,717655,1819,0,4,0,₽,850000000.0,,2023-03-16T00:00:00.000Z,,,,2023-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z,91800870.0,$,,,,,,,,,
Дэдпул,movie,2016,108.0,"[{'name': 'боевик'}, {'name': 'комедия'}]",7.577,8.0,7.1,100.0,,707224,1191316,349,16,0,$,58000000.0,,2016-04-29T00:00:00.000Z,,2018-09-17T00:00:00.000Z,,2016-02-11T00:00:00.000Z,2016-01-21T00:00:00.000Z,26120904.0,$,363070709.0,$,782612155.0,$,Двадцатый Век Фокс СНГ,НД Плэй,,,
Гарри Поттер и узник Азкабана,movie,2004,142.0,"[{'name': 'фэнтези'}, {'name': 'приключения'}, {'name': 'семейный'}]",8.242,7.9,7.8,80.0,,704840,721307,263,5,0,$,130000000.0,,,,2008-12-23T00:00:00.000Z,2004-09-16T00:00:00.000Z,2004-06-03T00:00:00.000Z,2004-05-23T00:00:00.000Z,7800000.0,$,250105651.0,$,807041049.0,$,Каро-Премьер,"Premier Digital, Юниверсал Пикчерс Рус",,,
Служебный роман,movie,1977,159.0,"[{'name': 'мелодрама'}, {'name': 'комедия'}, {'name': 'драма'}]",8.329,8.2,0.0,0.0,,700683,10911,0,0,0,,,,,,2012-04-03T00:00:00.000Z,2011-01-11T00:00:00.000Z,,1977-10-26T00:00:00.000Z,,,,,,,,,,,
Министерство неджентльменских дел,movie,2024,119.0,"[{'name': 'боевик'}, {'name': 'драма'}, {'name': 'военный'}, {'name': 'история'}, {'name': 'комедия'}]",7.32,6.8,6.1,64.7059,,700397,130996,165,17,0,$,60000000.0,,2024-05-13T00:00:00.000Z,,,,2024-05-13T00:00:00.000Z,2024-04-13T00:00:00.000Z,6056719.0,$,20535053.0,$,29715044.0,$,,,,,
Поезд в Пусан,movie,2016,118.0,"[{'name': 'ужасы'}, {'name': 'боевик'}]",7.212,7.6,7.7,100.0,,697019,278656,129,13,0,$,8500000.0,,,,,,2016-11-24T00:00:00.000Z,2016-05-13T00:00:00.000Z,146606.0,$,2129768.0,$,96660013.0,$,,,,,
Властелин колец: Братство кольца,movie,2001,178.0,"[{'name': 'фэнтези'}, {'name': 'приключения'}, {'name': 'драма'}, {'name': 'боевик'}]",8.62,8.9,8.2,71.4286,,694818,2085239,236,7,0,$,93000000.0,,,,2010-04-06T00:00:00.000Z,2002-12-03T00:00:00.000Z,2002-02-07T00:00:00.000Z,2001-12-10T00:00:00.000Z,7179834.0,$,316115420.0,$,883407846.0,$,"Каро-Премьер, UPI","Premier Digital, Юниверсал Пикчерс Рус",,,
Драйв,movie,2011,100.0,"[{'name': 'криминал'}, {'name': 'драма'}, {'name': 'триллер'}]",7.251,7.8,8.3,78.9474,,691605,729228,276,19,0,$,15000000.0,,,,2011-12-13T00:00:00.000Z,2011-11-29T00:00:00.000Z,2011-11-03T00:00:00.000Z,2011-05-20T00:00:00.000Z,2061088.0,$,35061555.0,$,76319533.0,$,,,,,
Пираты Карибского моря: Сундук мертвеца,movie,2006,151.0,"[{'name': 'фэнтези'}, {'name': 'боевик'}, {'name': 'приключения'}]",8.145,7.4,6.0,0.0,,689629,790206,228,1,0,$,225000000.0,,,,2009-10-01T00:00:00.000Z,2012-04-03T00:00:00.000Z,2006-07-13T00:00:00.000Z,2006-06-24T00:00:00.000Z,27512316.0,$,423315812.0,$,1066179725.0,$,Каскад фильм,"ВС трейд, Уолт Дисней Компани СНГ",,,
Железный человек,movie,2008,126.0,"[{'name': 'фантастика'}, {'name': 'боевик'}, {'name': 'приключения'}]",7.973,7.9,7.7,100.0,,689029,1160656,279,8,0,$,140000000.0,,,,2009-04-14T00:00:00.000Z,2008-09-30T00:00:00.000Z,2008-05-01T00:00:00.000Z,2008-04-14T00:00:00.000Z,9491200.0,$,318604126.0,$,585366247.0,$,UPI,Юниверсал Пикчерс Рус,,,
