name,type,year,movieLength,genres,rating.kp,rating.imdb,rating.filmCritics,rating.russianFilmCritics,rating.await,votes.kp,votes.imdb,votes.filmCritics,votes.russianFilmCritics,votes.await,budget.currency,budget.value,premiere.country,premiere.digital,premiere.cinema,premiere.bluray,premiere.dvd,premiere.russia,premiere.world,fees.russia.value,fees.russia.currency,fees.usa.value,fees.usa.currency,fees.world.value,fees.world.currency,distributors.distributor,distributors.distributorRelease,fees.russia,fees.usa,fees.world
Книжный клуб,movie,2018,103.0,"[{'name': 'комедия'}, {'name': 'мелодрама'}]",6.931,6.1,5.4,66.6667,,62480,33495,186,3,0,,,,,,,,2018-06-28T00:00:00.000Z,2018-05-17T00:00:00.000Z,165355.0,$,68566296.0,$,104438188.0,$,,,,,
Без обид,movie,2023,103.0,"[{'name': 'комедия'}, {'name': 'мелодрама'}]",6.408,6.3,6.1,0.0,,62410,189818,227,2,0,$,45000000.0,,,,,,,2023-06-15T00:00:00.000Z,,,50452282.0,$,87256407.0,$,,,,,
Двойной просчёт,movie,1999,105.0,"[{'name': 'триллер'}, {'name': 'драма'}, {'name': 'криминал'}, {'name': 'детектив'}]",7.386,6.5,4.5,0.0,,62394,99096,87,1,0,$,70000000.0,,,,,2010-02-02T00:00:00.000Z,2000-02-16T00:00:00.000Z,1999-09-21T00:00:00.000Z,,,116741558.0,$,177841558.0,$,Ист-Вест,Юниверсал Пикчерс Рус,,,
Шоссе в никуда,movie,1996,134.0,"[{'name': 'триллер'}, {'name': 'детектив'}]",7.382,7.6,6.6,0.0,,62378,161192,62,1,0,$,15000000.0,,,,,2009-05-07T00:00:00.000Z,1997-11-10T00:00:00.000Z,1997-01-15T00:00:00.000Z,,,3675201.0,$,3758874.0,$,"Russian World Vision, НТВ-Профит",Азимут,,,
Пароль «Рыба-меч»,movie,2001,99.0,"[{'name': 'боевик'}, {'name': 'триллер'}, {'name': 'криминал'}]",7.194,6.5,4.4,0.0,,62344,199379,138,1,0,$,102000000.0,,,,,2002-03-28T00:00:00.000Z,2001-10-10T00:00:00.000Z,2001-05-11T00:00:00.000Z,,,69772969.0,$,147080413.0,$,Каро-Премьер,Мост-Видео,,,
На войне как на войне,movie,1968,90.0,"[{'name': 'военный'}, {'name': 'драма'}]",8.444,8.0,0.0,0.0,,62287,670,0,0,0,,,,,,,2010-04-13T00:00:00.000Z,,1969-02-23T00:00:00.000Z,,,,,,,,,,,
Пока ты спал,movie,1995,103.0,"[{'name': 'драма'}, {'name': 'мелодрама'}, {'name': 'комедия'}]",7.549,6.8,6.5,0.0,,62282,119201,62,0,0,$,17000000.0,,,,2013-04-09T00:00:00.000Z,2012-03-13T00:00:00.000Z,,1995-04-09T00:00:00.000Z,,,81057016.0,$,182057016.0,$,,Уолт Дисней Компани СНГ,,,
Иваново детство,movie,1962,96.0,"[{'name': 'драма'}, {'name': 'военный'}, {'name': 'история'}]",8.045,8.0,9.0,0.0,,62280,41438,26,0,0,,,,,,,2003-11-04T00:00:00.000Z,,1962-04-06T00:00:00.000Z,18047.0,$,,,22619.0,$,,,,,
Учитель года,movie,2003,111.0,"[{'name': 'драма'}, {'name': 'комедия'}, {'name': 'семейный'}, {'name': 'спорт'}]",7.696,6.4,0.0,0.0,,62240,6410,0,0,0,,,,,,,2005-07-12T00:00:00.000Z,,2005-02-19T00:00:00.000Z,,,,,,,,,,,
Необыкновенная история на Рождество,movie,2017,104.0,"[{'name': 'драма'}, {'name': 'комедия'}, {'name': 'биография'}]",7.627,7.0,6.4,0.0,,62147,20585,170,0,0,,,,2020-12-03T00:00:00.000Z,,,,2020-11-26T00:00:00.000Z,2017-11-10T00:00:00.000Z,22231.0,$,5676486.0,$,8117668.0,$,,,,,
